ID,Formula,Compound Name,A,B,C,TMIN (K),TMAX (K)
367,C8H18S,ethyl-hexyl-sulfide,6.42693,1421.32,-67.34,388.15,504.15
368,C8H18S,heptyl-methyl-sulfide,6.42693,1421.32,-67.34,388.15,504.15
369,C8H18S,pentyl-propyl-sulfide,6.42693,1421.32,-67.34,388.15,504.15
370,C8H18S,1-octanethiol,6.96909,1593.0,-82.54,349.15,502.15
371,C8H18S2,butyl-disulfide,6.9638,1684.1,-91.85,374.15,536.15
372,C9H10,alpha-methylstyrene,7.0924,1582.7,-67.14,348.15,493.15
373,C9H10,"propenylbenzene,cis",7.44961,1909.083,-34.276,291.15,452.15
374,C9H10,"propenylbenzene,trans",7.54993,1909.08,-34.28,378.15,470.15
375,C9H10,m-methylstyrene,6.87928,1471.44,-73.15,345.15,523.15
376,C9H10,o-methylstyrene,6.88461,1485.41,-73.15,348.15,528.15
377,C9H10,p-methylstyrene,7.0112,1535.1,-72.45,341.15,443.15
378,C9H12,propylbenzene,6.95142,1491.297,-66.01,316.15,461.15
379,C9H12,cumene,6.93666,1460.793,-65.373,311.15,454.15
380,C9H12,m-ethyltoluene,7.01582,1529.184,-64.641,319.15,463.15
381,C9H12,o-ethyltoluene,7.00314,1535.374,-65.85,321.15,467.15
382,C9H12,p-ethyltoluene,6.99802,1527.113,-64.229,319.15,464.15
383,C9H12,"1,2,3-trimethylbenzene",7.04082,1593.958,-66.072,330.15,478.15
384,C9H12,"1,2,4-trimethylbenzene",7.04383,1573.267,-64.586,325.15,471.15
385,C9H12,mesitylene,7.07436,1569.622,-63.572,322.15,466.15
386,C9H16,1-nonyne,6.7741,1404.7,-63.15,323.15,496.15
387,C9H18,1-nonene,6.95387,1435.359,-67.615,309.15,447.15
388,C9H18,butylcyclopentane,6.89935,1457.08,-67.16,314.15,458.15
389,C9H18,propylcyclohexane,6.88646,1460.8,-65.211,313.15,459.15
390,C9H18,c-c-135trimethylcyclohexane,7.09743,1460.8,-65.22,351.15,437.15
391,C9H18,c-t-135trimethylcyclohexane,7.07274,1460.8,-65.22,353.15,439.15
392,C9H18O,nonanal,7.81505,2036.854,-45.664,306.15,458.15
393,C9H20,c9,6.9344,1429.46,-71.33,312.15,452.15
394,C9H20,2-methyloctane,6.91191,1398.42,-69.5,306.15,444.15
395,C9H20,3-methyloctane,6.9092,1405.8,-68.39,306.15,445.15
396,C9H20,4-methyloctane,6.90318,1399.12,-67.74,305.15,443.15
397,C9H20,3-ethylheptane,6.90489,1406.5,-66.65,305.15,444.15
398,C9H20,4-ethylheptane,6.89898,1399.8,-65.95,303.15,442.15
399,C9H20,"2,2-dimethylheptane",6.88174,1363.91,-64.94,297.15,433.15
400,C9H20,"2,3-dimethylheptane",6.87635,1389.5,-65.85,302.15,441.15
401,C9H20,"2,4-dimethylheptane",6.90252,1368.72,-65.71,297.15,433.15
402,C9H20,"2,5-dimethylheptane",6.89317,1375.4,-66.35,300.15,436.15
403,C9H20,"2,6-dimethylheptane",6.89385,1368.0,-67.47,299.15,435.15
404,C9H20,"3,3-dimethylheptane",6.87553,1385.36,-63.36,299.15,438.15
405,C9H20,"3,4-dimethylheptane",6.88359,1396.9,-64.75,302.15,441.15
406,C9H20,"3,5-dimethylheptane",6.90164,1382.8,-65.25,299.15,436.15
407,C9H20,"4,4-dimethylheptane",6.86968,1378.7,-62.75,297.15,436.15
408,C9H20,3-ethyl-2-methylhexane,6.8869,1390.2,-64.15,300.15,439.15
409,C9H20,4-ethyl-2-methylhexane,6.9003,1376.1,-64.55,298.15,434.15
410,C9H20,3-ethyl-3-methylhexane,6.87787,1406.8,-61.75,301.15,442.15
411,C9H20,3-ethyl-4-methylhexane,6.8943,1404.3,-63.65,302.15,441.15
412,C9H20,"2,2,3-trimethylhexane",6.86574,1375.72,-61.52,296.15,434.15
413,C9H20,"2,2,4-trimethylhexane",6.84922,1340.9,-61.8,291.15,427.15
414,C9H20,"2,2,5-trimethylhexane",6.83531,1324.049,-62.413,289.15,424.15
415,C9H20,"2,3,3-trimethylhexane",6.85417,1389.79,-61.05,298.15,439.15
416,C9H20,"2,3,4-trimethylhexane",6.85274,1387.22,-62.93,300.15,440.15
417,C9H20,"2,3,5-trimethylhexane",6.87078,1359.09,-63.86,295.15,432.15
418,C9H20,"2,4,4-trimethylhexane",6.85163,1368.723,-59.103,293.15,431.15
419,C9H20,"3,3,4-trimethylhexane",6.85761,1403.88,-60.59,300.15,442.15
420,C9H20,"3,3-diethylpentane",6.89262,1451.245,-57.575,304.15,448.15
421,C9H20,"3-ethyl-2,2-dimethylpentane",6.87166,1383.13,-60.4,296.15,435.15
422,C9H20,"3-ethyl-2,3-dimethylpentane",6.84463,1418.0,-60.15,303.15,447.15
423,C9H20,"3-ethyl-2,4-dimethylpentane",6.85293,1380.54,-62.28,298.15,438.15
424,C9H20,"2,2,3,3-tetramethylpentane",6.82876,1397.483,-59.447,299.15,442.15
425,C9H20,"2,2,3,4-tetramethylpentane",6.83173,1374.042,-58.388,294.15,434.15
426,C9H20,"2,2,4,4-tetramethylpentane",6.7971,1325.183,-57.057,286.15,423.15
427,C9H20,"2,3,3,4-tetramethylpentane",6.85961,1417.473,-58.445,300.15,443.15
428,C9H20O,nonyl-alcohol,6.6757,1276.63,-150.09,363.15,487.15
429,C9H20S,butyl-pentyl-sulfide,6.23448,1421.32,-67.34,402.15,531.15
430,C9H20S,ethyl-heptyl-sulfide,6.23448,1421.32,-67.34,402.15,531.15
431,C9H20S,hexyl-propyl-sulfide,6.23448,1421.32,-67.34,402.15,531.15
432,C9H20S,methyl-octyl-sulfide,6.23448,1421.32,-67.34,402.15,531.15
433,C9H20S,1-nonanethiol,6.9839,1655.6,-89.45,366.15,524.15
434,C10H8,naphthalene,7.01065,1733.71,-71.291,360.15,523.15
435,C10H8,azulene,6.7868,1733.71,-71.3,433.15,551.15
436,C10H14,butylbenzene,6.98317,1577.965,-71.772,335.15,486.15
437,C10H14,m-diethylbenzene,7.0036,1575.31,-72.19,334.15,484.15
438,C10H14,o-diethylbenzene,6.9878,1576.94,-72.64,336.15,486.15
439,C10H14,p-diethylbenzene,6.9982,1588.31,-71.18,336.15,487.15
440,C10H14,"1,2,3,4-tetramethylbenzene",7.0594,1690.54,-73.67,353.15,509.15
441,C10H14,"1,2,3,5-tetramethylbenzene",7.0779,1675.43,-72.01,348.15,501.15
442,C10H14,"1,2,4,5-tetramethylbenzene",7.08,1672.43,-71.72,347.15,500.15
443,C10H18,1-decyne,7.1087,1606.6,-67.15,351.15,519.15
444,C10H18,"decahydronaphthalene,cis",6.87529,1594.46,-69.758,341.15,501.15
445,C10H18,"decahydronaphthalene,trans",6.85681,1564.683,-66.891,334.15,492.15
446,C10H20,1-decene,6.96034,1501.872,-75.572,327.15,472.15
447,C10H20,1-cyclopentylpentane,6.9414,1540.6,-74.35,333.15,483.15
448,C10H20,butylcyclohexane,6.9103,1538.518,-72.317,332.15,484.15
449,C10H20O,decanal,8.20794,2378.316,-35.245,325.15,482.15
450,C10H22,c10,6.96375,1508.75,-77.776,331.15,476.15
451,C10H22,2-methylnonane,6.93372,1472.73,-76.77,325.15,469.15
452,C10H22,3-methylnonane,6.92975,1479.1,-75.65,325.15,470.15
453,C10H22,4-methylnonane,6.92234,1471.0,-74.85,323.15,467.15
454,C10H22,5-methylnonane,6.91878,1468.4,-74.65,323.15,467.15
455,C10H22,3-ethyloctane,6.91845,1477.4,-73.75,323.15,468.15
456,C10H22,4-ethyloctane,6.90922,1466.68,-72.71,321.15,465.15
457,C10H22,"2,2-dimethyloctane",6.90617,1439.6,-72.45,316.15,458.15
458,C10H22,"2,3-dimethyloctane",6.89449,1462.22,-73.15,321.15,466.15
459,C10H22,"2,4-dimethyloctane",6.92146,1439.8,-72.75,316.15,457.15
460,C10H22,"2,5-dimethyloctane",6.90263,1442.5,-72.95,317.15,460.15
461,C10H22,"2,6-dimethyloctane",6.93331,1450.53,-73.75,318.15,460.15
462,C10H22,"2,7-dimethyloctane",6.91326,1444.19,-74.88,319.15,461.15
463,C10H22,"3,3-dimethyloctane",6.88895,1457.6,-70.65,318.15,463.15
464,C10H22,"3,4-dimethyloctane",6.89926,1465.9,-71.75,320.15,465.15
465,C10H22,"3,5-dimethyloctane",6.89758,1448.8,-71.85,317.15,461.15
466,C10H22,"3,6-dimethyloctane",6.91284,1456.9,-72.65,319.15,462.15
467,C10H22,"4,4-dimethyloctane",6.88891,1446.9,-69.65,315.15,459.15
468,C10H22,"4,5-dimethyloctane",6.89288,1460.52,-71.25,319.15,464.15
469,C10H22,4-propylheptane,6.9471,1458.7,-71.95,317.15,459.15
470,C10H22,4-isopropylheptane,6.88757,1449.8,-70.25,316.15,461.15
471,C10H22,3-ethyl-2-methylheptane,6.89294,1457.9,-70.95,318.15,463.15
472,C10H22,4-ethyl-2-methylheptane,6.892,1438.2,-70.85,315.15,458.15
473,C10H22,5-ethyl-2-methylheptane,6.89424,1448.8,-71.85,317.15,461.15
474,C10H22,3-ethyl-3-methylheptane,6.88063,1472.9,-68.65,319.15,466.15
475,C10H22,4-ethyl-3-methylheptane,6.88689,1464.2,-69.85,318.15,464.15
476,C10H22,3-ethyl-5-methylheptane,6.91593,1455.2,-70.75,317.15,460.15
477,C10H22,3-ethyl-4-methylheptane,6.88827,1466.8,-70.15,319.15,465.15
478,C10H22,4-ethyl-4-methylheptane,6.88302,1464.9,-67.95,317.15,463.15
479,C10H22,"2,2,3-trimethylheptane",6.87507,1446.1,-68.75,315.15,460.15
480,C10H22,"2,2,4-trimethylheptane",6.87525,1409.4,-68.65,308.15,450.15
481,C10H22,"2,2,5-trimethylheptane",6.87855,1417.4,-69.35,310.15,452.15
482,C10H22,"2,2,6-trimethylheptane",6.89454,1411.09,-70.52,310.15,450.15
483,C10H22,"2,3,3-trimethylheptane",6.87202,1457.8,-68.15,316.15,462.15
484,C10H22,"2,3,4-trimethylheptane",6.87417,1451.7,-69.55,317.15,462.15
485,C10H22,"2,3,5-trimethylheptane",6.8399,1440.0,-70.15,317.15,463.15
486,C10H22,"2,3,6-trimethylheptane",6.88668,1433.7,-71.25,315.15,457.15
487,C10H22,"2,4,4-trimethylheptane",6.86062,1418.4,-67.75,310.15,453.15
488,C10H22,"2,4,5-trimethylheptane",6.87583,1437.3,-69.85,314.15,458.15
489,C10H22,"2,4,6-trimethylheptane",6.91395,1411.3,-70.85,309.15,448.15
490,C10H22,"2,5,5-trimethylheptane",6.88204,1429.09,-68.79,312.15,454.15
491,C10H22,"3,3,4-trimethylheptane",6.86861,1466.8,-67.25,317.15,464.15
492,C10H22,"3,3,5-trimethylheptane",6.85524,1435.43,-67.66,313.15,458.15
493,C10H22,"3,4,4-trimethylheptane",6.86721,1464.1,-66.95,316.15,463.15
494,C10H22,"3,4,5-trimethylheptane",6.87113,1463.4,-68.95,318.15,465.15
495,C10H22,3-isopropyl-2-methylhexane,6.76103,1441.0,-68.45,318.15,470.15
496,C10H22,"3,3-diethylhexane",6.88355,1490.9,-66.95,320.15,469.15
497,C10H22,"3,4-diethylhexane",6.88347,1473.2,-68.95,319.15,466.15
498,C10H22,"3-ethyl-2,2-dimethylhexane",6.86594,1444.4,-66.75,313.15,458.15
499,C10H22,"4-ethyl-2,2-dimethylhexane",6.89526,1416.0,-67.15,307.15,448.15
500,C10H22,"3-ethyl-2,3-dimethylhexane",6.86128,1475.8,-66.35,318.15,467.15
501,C10H22,"4-ethyl-2,3-dimethylhexane",6.86823,1458.0,-68.45,317.15,463.15
502,C10H22,"3-ethyl-2,4-dimethylhexane",6.86682,1455.3,-68.15,316.15,462.15
503,C10H22,"4-ethyl-2,4-dimethylhexane",6.86721,1464.1,-66.95,316.15,463.15
504,C10H22,"3-ethyl-2,5-dimethylhexane",6.87155,1429.3,-69.05,312.15,456.15
505,C10H22,"4-ethyl-3,3-dimethylhexane",6.86288,1473.1,-66.15,317.15,466.15
506,C10H22,"3-ethyl-3,4-dimethylhexane",6.86148,1470.4,-65.85,317.15,465.15
507,C10H22,"2,2,3,3-tetramethylhexane",6.84438,1464.03,-64.09,314.15,463.15
508,C10H22,"2,2,3,4-tetramethylhexane",6.8241,1443.6,-65.85,314.15,461.15
509,C10H22,"2,2,3,5-tetramethylhexane",6.87685,1417.6,-66.85,308.15,450.15
510,C10H22,"2,2,4,4-tetramethylhexane",6.73151,1396.0,-64.45,308.15,457.15
511,C10H22,"2,2,4,5-tetramethylhexane",6.83561,1400.55,-66.89,307.15,449.15
512,C10H22,"2,2,5,5-tetramethylhexane",6.88124,1377.98,-66.15,300.15,438.15
513,C10H22,"2,3,3,4-tetramethylhexane",6.84243,1474.94,-65.43,318.15,468.15
514,C10H22,"2,3,3,5-tetramethylhexane",6.85043,1429.2,-66.25,310.15,455.15
515,C10H22,"2,3,4,4-tetramethylhexane",6.8294,1457.9,-65.55,315.15,464.15
516,C10H22,"2,3,4,5-tetramethylhexane",6.87156,1442.8,-67.85,313.15,458.15
517,C10H22,"3,3,4,4-tetramethylhexane",6.81164,1492.7,-63.45,320.15,474.15
518,C10H22,24dimethyl3isopropylpentane,6.82154,1432.15,-66.77,313.15,459.15
519,C10H22,33-diethyl-2-methylpentane,6.85984,1501.8,-65.45,322.15,473.15
520,C10H22,3ethyl-223trimethylpentane,6.8071,1490.1,-63.15,320.15,473.15
521,C10H22,3ethyl-224trimethylpentane,6.83149,1435.6,-65.05,311.15,458.15
522,C10H22,3ethyl-234trimethylpentane,6.81616,1486.62,-64.83,320.15,473.15
523,C10H22,22334-pentamethylpentane,6.79659,1474.89,-62.55,317.15,470.15
524,C10H22,22344-pentamethylpentane,6.73273,1423.83,-62.8,311.15,463.15
525,C10H22O,decyl-alcohol,6.9224,1472.01,-138.99,376.15,503.15
526,C10H22S,butyl-hexyl-sulfide,6.06898,1421.32,-67.34,416.15,558.15
527,C10H22S,ethyl-octyl-sulfide,6.06898,1421.32,-67.34,416.15,558.15
528,C10H22S,heptyl-propyl-sulfide,6.06898,1421.32,-67.34,416.15,558.15
529,C10H22S,methyl-nonyl-sulfide,6.06898,1421.32,-67.34,416.15,558.15
530,C10H22S,pentyl-sulfide,6.06898,1421.32,-67.34,416.15,558.15
531,C10H22S,1-decanethiol,6.9981,1713.6,-96.15,382.15,544.15
532,C10H22S2,pentyl-disulfide,6.9581,1756.0,-106.35,401.15,571.15
533,C11H10,1-methylnaphthalene,7.03592,1826.948,-78.148,381.15,551.15
534,C11H10,2-methylnaphthalene,7.0685,1840.268,-74.755,378.15,547.15
535,C11H16,pentylbenzene,6.97833,1639.91,-78.39,353.15,510.15
536,C11H16,pentamethylbenzene,7.1376,1833.8,-74.19,398.15,543.15
537,C11H20,1-undecyne,7.13064,1687.2,-71.15,353.15,540.15
538,C11H22,1-undecene,6.96662,1562.469,-83.407,345.15,495.15
539,C11H22,1-cyclopentylhexane,6.9548,1608.0,-81.55,351.15,507.15
540,C11H22,pentylcyclohexane,6.94667,1619.11,-78.64,351.15,508.15
541,C11H24,c11,6.9722,1569.57,-85.45,348.15,499.15
542,C11H24O,undecyl-alcohol,6.5271,1250.0,-173.15,393.15,516.15
543,C11H24S,butyl-heptyl-sulfide,5.9321,1421.32,-67.34,428.15,582.15
544,C11H24S,decyl-methyl-sulfide,5.9321,1421.32,-67.34,428.15,582.15
545,C11H24S,ethyl-nonyl-sulfide,5.9321,1421.32,-67.34,428.15,582.15
546,C11H24S,octyl-propyl-sulfide,5.9321,1421.32,-67.34,428.15,582.15
547,C11H24S,1-undecanethiol,7.0122,1767.4,-102.75,397.15,563.15
548,C12H10,biphenyl,7.2454,1998.72,-70.41,343.15,545.15
549,C12H12,1-ethylnaphthalene,7.03159,1841.32,-87.87,393.15,565.15
550,C12H12,2-ethylnaphthalene,7.07566,1880.73,-81.74,391.15,564.15
551,C12H12,"1,2-dimethylnaphthalene",7.00605,1805.31,-101.78,402.15,542.15
552,C12H12,"1,3-dimethylnaphthalene",7.2698,2076.0,-63.15,421.15,583.15
553,C12H12,"1,4-dimethylnaphthalene",7.2698,2076.0,-63.15,421.15,583.15
554,C12H12,"1,5-dimethylnaphthalene",7.0493,1855.0,-93.15,423.15,586.15
555,C12H12,"1,6-dimethylnaphthalene",7.2698,2076.0,-63.15,421.15,583.15
556,C12H12,"1,7-dimethylnaphthalene",7.0564,1879.0,-93.15,423.15,593.15
557,C12H12,"2,3-dimethylnaphthalene",7.0527,1869.0,-93.15,428.15,588.15
558,C12H12,"2,6-dimethylnaphthalene",7.046,1841.0,-93.15,423.15,583.15
559,C12H12,"2,7-dimethylnaphthalene",7.0478,1846.0,-93.15,423.15,583.15
560,C12H18,hexylbenzene,6.9853,1700.5,-84.95,369.15,531.15
561,C12H18,"1,2,3-triethylbenzene",7.58877,2133.55,-37.47,419.15,520.15
562,C12H18,"1,2,4-triethylbenzene",7.57869,2133.558,-37.469,319.15,491.15
563,C12H18,"1,3,5-triethylbenzene",7.6044,2133.55,-37.47,418.15,519.15
564,C12H18,hexamethylbenzene,7.15544,2133.55,-37.47,451.15,573.15
565,C12H22,1-dodecyne,7.16929,1771.1,-75.15,386.15,561.15
566,C12H24,1-dodecene,6.97522,1619.862,-90.879,362.15,517.15
567,C12H24,1-cyclopentylheptane,6.9743,1672.2,-88.75,368.15,529.15
568,C12H24,1-cyclohexylhexane,6.9555,1681.0,-85.35,367.15,530.15
569,C12H26,c12,6.99795,1639.27,-91.315,364.15,520.15
570,C12H26O,dodecyl-alcohol,7.53986,2003.29,-105.02,411.15,487.15
571,C12H26S,butyl-octyl-sulfide,6.629,1408.0,-157.09,407.15,580.15
572,C12H26S,decyl-ethyl-sulfide,5.81251,1421.32,-67.34,439.15,606.15
573,C12H26S,hexyl-sulfide,5.81251,1421.32,-67.34,439.15,606.15
574,C12H26S,methyl-undecyl-sulfide,5.81251,1421.32,-67.34,439.15,606.15
575,C12H26S,nonyl-propyl-sulfide,5.81251,1421.32,-67.34,439.15,606.15
576,C12H26S,1-dodecanethiol,7.0244,1817.8,-109.05,411.15,581.15
577,C12H26S2,hexyl-disulfide,6.9632,1824.9,-119.65,426.15,601.15
578,C13H14,1-propylnaphthalene,7.0594,1890.8,-93.15,428.15,608.15
579,C13H14,2-propylnaphthalene,7.0605,1895.5,-93.15,433.15,608.15
580,C13H14,2ethyl-3-methylnaphthalene,7.02851,1895.5,-93.15,469.15,585.15
581,C13H14,2ethyl-6-methylnaphthalene,7.09303,1895.5,-93.15,465.15,576.15
582,C13H14,2ethyl-7-methylnaphthalene,7.09303,1895.5,-93.15,465.15,576.15
583,C13H20,1-phenylheptane,7.0006,1761.2,-91.65,385.15,552.15
584,C13H24,1-tridecyne,7.15674,1834.4,-78.15,393.15,581.15
585,C13H26,1-tridecene,6.98563,1674.741,-97.936,378.15,537.15
586,C13H26,1-cyclopentyloctane,6.9896,1729.8,-95.85,385.15,549.15
587,C13H26,1-cyclohexylheptane,6.9743,1743.0,-92.25,384.15,551.15
588,C13H28,c13,7.00756,1690.67,-98.93,380.15,540.15
589,C13H28O,1-tridecanol,7.41181,2003.29,-105.02,475.15,577.15
590,C13H28S,butyl-nonyl-sulfide,5.70756,1421.32,-67.34,450.15,628.15
591,C13H28S,decyl-propyl-sulfide,5.70756,1421.32,-67.34,450.15,628.15
592,C13H28S,dodecyl-methyl-sulfide,5.70756,1421.32,-67.34,450.15,628.15
593,C13H28S,ethyl-undecyl-sulfide,5.70756,1421.32,-67.34,450.15,628.15
594,C13H28S,1-tridecanethiol,7.037,1864.9,-115.25,424.15,598.15
595,C14H16,1-butylnaphthalene,4.9631,656.8,-247.15,412.15,565.15
596,C14H16,2-butylnaphthalene,6.6117,1591.4,-134.65,418.15,564.15
597,C14H22,1-phenyloctane,7.0086,1812.2,-98.55,400.15,571.15
598,C14H22,"1,2,3,4-tetraethylbenzene",7.65632,2312.864,-36.889,339.15,521.15
599,C14H22,"1,2,3,5-tetraethylbenzene",7.63235,2312.86,-36.89,447.15,555.15
600,C14H22,"1,2,4,5-tetraethylbenzene",7.63723,2312.86,-36.89,447.15,555.15
601,C14H26,1-tetradecyne,7.23227,1927.7,-82.15,418.15,599.15
602,C14H28,1-tetradecene,7.02005,1745.001,-102.675,392.15,556.15
603,C14H28,1-cyclopentylnonane,6.996,1779.0,-102.95,399.15,569.15
604,C14H28,1-cyclohexyloctane,6.9897,1799.3,-98.85,399.15,571.15
605,C14H30,c14,7.013,1740.88,-105.43,395.15,559.15
606,C14H30O,1-tetradecanol,6.6741,1204.5,-219.15,403.15,537.15
607,C14H30S,butyl-decyl-sulfide,5.61512,1421.32,-67.34,460.15,649.15
608,C14H30S,dodecyl-ethyl-sulfide,5.61512,1421.32,-67.34,460.15,649.15
609,C14H30S,heptyl-sulfide,5.61512,1421.32,-67.34,460.15,649.15
610,C14H30S,methyl-tridecyl-sulfide,5.61512,1421.32,-67.34,460.15,649.15
611,C14H30S,propyl-undecyl-sulfide,5.61512,1421.32,-67.34,460.15,649.15
612,C14H30S,1-tetradecanethiol,7.0485,1909.2,-121.25,437.15,614.15
613,C14H30S2,heptyl-disulfide,6.9602,1878.6,-133.35,448.15,630.15
614,C15H18,1-pentylnaphthalene,7.0743,2000.0,-103.15,458.15,633.15
615,C15H18,2-pentylnaphthalene,7.06,2005.9,-103.15,463.15,643.15
616,C15H24,1-phenylnonane,7.0245,1862.6,-105.65,415.15,589.15
617,C15H28,1-pentadecyne,7.20553,1972.07,-85.15,413.15,622.15
618,C15H30,1-pentadecene,7.01555,1781.974,-110.568,407.15,575.15
619,C15H30,1-cyclopentyldecane,7.00349,1825.748,-109.671,414.15,587.15
620,C15H30,1-cyclohexylnonane,7.0006,1850.2,-105.55,414.15,589.15
621,C15H32,c15,7.02359,1789.95,-111.77,409.15,577.15
622,C15H32O,1-pentadecanol,6.23737,1204.5,-219.15,503.15,612.15
623,C15H32S,butyl-undecyl-sulfide,5.53347,1421.32,-67.34,469.15,670.15
624,C15H32S,dodecyl-propyl-sulfide,5.53347,1421.32,-67.34,469.15,670.15
625,C15H32S,ethyl-tridecyl-sulfide,5.53347,1421.32,-67.34,469.15,670.15
626,C15H32S,methyl-tetradecyl-sulfide,5.53347,1421.32,-67.34,469.15,670.15
627,C15H32S,1-pentadecanethiol,7.0612,1951.0,-127.15,449.15,629.15
628,C16H26,1-phenyldecane,7.03642,1904.132,-112.832,428.15,606.15
629,C16H26,pentaethylbenzene,8.29495,2972.77,-1.098,359.15,550.15
630,C16H30,1-hexadecyne,7.47511,2154.7,-88.15,445.15,640.15
631,C16H32,1-hexadecene,7.04437,1843.581,-115.233,420.15,592.15
632,C16H32,1-cyclopentylundecane,7.02,1869.2,-117.15,427.15,603.15
633,C16H32,1-cyclohexyldecane,7.01852,1899.242,-111.802,427.15,606.15
634,C16H34,c16,7.02867,1830.51,-118.7,422.15,594.15
635,C16H34O,1-hexadecanol,6.1586,1380.0,-182.15,418.15,463.15
636,C16H34S,butyl-dodecyl-sulfide,5.46123,1421.32,-67.34,477.15,689.15
637,C16H34S,ethyl-tetradecyl-sulfide,5.46123,1421.32,-67.34,477.15,689.15
638,C16H34S,methyl-pentadecyl-sulfide,5.46123,1421.32,-67.34,477.15,689.15
639,C16H34S,octyl-sulfide,5.46123,1421.32,-67.34,477.15,689.15
640,C16H34S,propyl-tridecyl-sulfide,5.46123,1421.32,-67.34,477.15,689.15
641,C16H34S,1-hexadecanethiol,7.075,1990.0,-133.15,461.15,643.15
642,C16H34S2,octyl-disulfide,6.9579,1935.6,-144.15,469.15,656.15
643,C17H28,1-phenylundecane,7.0509,1944.1,-120.15,441.15,622.15
644,C17H32,1-heptadecyne,7.48829,2216.2,-91.15,457.15,657.15
645,C17H34,1-heptadecene,7.03925,1877.91,-121.62,432.15,608.15
646,C17H34,1-cyclopentyldodecane,7.0319,1909.1,-124.15,441.15,619.15
647,C17H34,1-cyclohexylundecane,7.029,1939.7,-118.65,440.15,622.15
648,C17H36,c17,7.0143,1865.1,-123.95,434.15,610.15
649,C17H36O,1-heptadecanol,6.782,1595.0,-188.09,464.15,656.15
650,C17H36S,butyl-tridecyl-sulfide,5.39727,1421.32,-67.34,485.15,707.15
651,C17H36S,ethyl-pentadecyl-sulfide,5.39727,1421.32,-67.34,485.15,707.15
652,C17H36S,hexadecyl-methyl-sulfide,5.39727,1421.32,-67.34,485.15,707.15
653,C17H36S,propyl-tetradecyl-sulfide,5.39727,1421.32,-67.34,485.15,707.15
654,C17H36S,1-heptadecanethiol,7.081,2027.0,-138.15,471.15,657.15
655,C18H30,1-phenyldodecane,7.0693,1981.6,-127.65,454.15,636.15
656,C18H30,hexaethylbenzene,7.50288,2360.733,-60.498,407.15,571.15
657,C18H34,1-octadecyne,7.50787,2281.1,-93.15,469.15,673.15
658,C18H36,1-octadecene,7.04518,1917.9,-127.25,444.15,623.15
659,C18H36,1-cycopentyltridecane,7.0473,1947.0,-131.25,453.15,634.15
660,C18H36,1-cyclohexyldodecane,7.0362,1976.7,-125.15,452.15,637.15
661,C18H38,c18,7.0022,1894.3,-129.85,445.15,625.15
662,C18H38O,1-octadecanol,6.814,1632.0,-193.09,474.15,658.15
663,C18H38S,butyl-tetradecyl-sulfide,5.3364,1421.32,-67.34,493.15,725.15
664,C18H38S,ethyl-hexadecyl-sulfide,5.3364,1421.32,-67.34,493.15,725.15
665,C18H38S,heptadecyl-methyl-sulfide,5.3364,1421.32,-67.34,493.15,725.15
666,C18H38S,nonyl-sulfide,5.3364,1421.32,-67.34,493.15,725.15
667,C18H38S,pentadecyl-propyl-sulfide,5.3364,1421.32,-67.34,493.15,725.15
668,C18H38S,1-octadecanethiol,7.096,2061.0,-144.15,482.15,670.15
669,C18H38S2,nonyl-disulfide,6.9605,1981.5,-156.15,488.15,680.15
670,C19H32,1-phenyltridecane,7.0843,2013.9,-135.25,466.15,650.15
671,C19H36,1-nonadecyne,7.51711,2336.7,-96.15,481.15,689.15
672,C19H38,1-nonadecene,7.0571,1961.6,-131.95,456.15,637.15
673,C19H38,1-cyclopentyltetradecane,7.063,1982.0,-138.15,465.15,648.15
674,C19H38,1-cyclohexyltridecane,7.0469,2012.2,-131.65,464.15,651.15
675,C19H40,c19,7.0153,1932.8,-135.55,457.15,639.15
676,C19H40O,1-nonadecanol,6.60769,1632.0,-193.09,547.15,668.15
677,C19H40S,butyl-pentadecyl-sulfide,5.28246,1421.32,-67.34,500.15,741.15
678,C19H40S,ethyl-heptadecyl-sulfide,5.28246,1421.32,-67.34,500.15,741.15
679,C19H40S,hexadecyl-propyl-sulfide,5.28246,1421.32,-67.34,500.15,741.15
680,C19H40S,methyl-octadecyl-sulfide,5.28246,1421.32,-67.34,500.15,741.15
681,C19H40S,1-nonadecanethiol,7.105,2094.0,-149.15,492.15,682.15
682,C20H34,1-phenyltetradecane,7.101,2042.0,-143.15,478.15,663.15
683,C20H38,1-eicosyne,7.52336,2386.3,-99.15,492.15,704.15
684,C20H40,1-eicosene,7.0577,1995.3,-137.15,466.15,651.15
685,C20H40,1-cyclopentylpentadecane,7.083,2016.0,-145.15,476.15,661.15
686,C20H40,1-cyclohexyltetradecane,7.061,2046.0,-138.15,476.15,665.15
687,C20H42,c20,7.1522,2032.7,-141.05,471.15,652.15
688,C20H42O,1-eicosanol,6.872,1699.0,-203.09,492.15,679.15
689,C20H42S,butyl-hexadecyl-sulfide,5.23473,1421.32,-67.34,506.15,757.15
690,C20H42S,decyl-sulfide,5.23473,1421.32,-67.34,506.15,757.15
691,C20H42S,ethyl-octadecyl-sulfide,5.23473,1421.32,-67.34,506.15,757.15
692,C20H42S,heptadecyl-propyl-sulfide,5.23473,1421.32,-67.34,506.15,757.15
693,C20H42S,methyl-nonadecyl-sulfide,5.23473,1421.32,-67.34,506.15,757.15
